Torre (from Item Portfólio),Item Portfólio,Produto/Serviço,MRR,Clientes,Classificação BCG*
Torre Embarcador,DMS Atacadista/Distribuidor,Fusion - DMS - Gestão de Entregas,R$ 799825.87,0,Migrar
Torre Embarcador,DMS Atacadista/Distribuidor,Fusion - DMS - Jornada de Trabalho,R$ 0.00,0,Migrar
Torre Embarcador,DMS Atacadista/Distribuidor,Fusion - DMS - Roteirizador,R$ 1866260.35,780,Growth
Torre Embarcador,Etiqueta de Frete,Frete Rápido - Shippon,R$ 141365.80,0,Growth
Torre Embarcador,Gestão de Entregas,Bsoft - Localiza Carga,R$ 0.00,174,Migrar
Torre Embarcador,Gestão de Entregas,Comprovei - Comprovei Cargo,R$ 40997.60,0,Growth
Torre Embarcador,Gestão de Entregas,Comprovei - Comprovei Enterprise,R$ 849536.73,91,Growth
Torre Embarcador,Gestão de Entregas,Datamex - Entreguei,R$ 12463.51,41,Migrar
Torre Embarcador,Gestão de Entregas,Hivecloud - AR,R$ 0.00,0,Descontinuado
Torre Embarcador,Gestão de Entregas,RoutEasy - Gestão de Entregas,R$ 202587.65,0,Migrar
Torre Embarcador,Hub de Agendamento,Trizy - GPED,R$ 110501.76,3,Growth
Torre Embarcador,Hub de Oferta de Cargas,Hub de Oferta de cargas,R$ 0.00,0,MVP
Torre Embarcador,Roteirizador,Multisoftware - Roteirizador,R$ 0.00,0,Migrar
Torre Embarcador,Roteirizador,RoutEasy - Maestro,R$ 111438.96,0,Dúvida
Torre Embarcador,Roteirizador,Routeasy - Routing,R$ 810350.62,0,Growth
Torre Embarcador,Soluções de Pedágio,nspedágio - Conta única,R$ 1371306.77,350,Growth
Torre Embarcador,Soluções de Pedágio,nspedágio - Integradores,R$ 0.00,0,Growth
Torre Embarcador,Soluções de Pedágio,qualp,R$ 400607.37,0,Growth
Torre Embarcador,Super App,Trizy - Fretes,R$ 0.00,0,MVP
Torre Embarcador,Super App,Trizy - Super App,R$ 170542.46,0,Growth
Torre Embarcador,TMS Embarcador,Hivecloud - 3PL,R$ 11359.40,0,Migrar
Torre Embarcador,TMS Embarcador,Multisoftware - MultiEmbarcador,R$ 3066000.00,136,Estabilização
Torre Embarcador,TMS Embarcador,Signa - e-Cargo Embarcador,R$ 11344.86,0,Migrar
Torre Embarcador,TMS Embarcador e-commerce,Frete Rápido - Gestão de Fretes,R$ 836130.10,0,Growth
Torre Embarcador,Torre de Controle,Multi - Torre de Controle,R$ 0.00,0,Estabilização
Torre Embarcador,WMS e Gestão de Terminais,Datamex - WMS,R$ 49269.88,50,Migrar
Torre Embarcador,WMS e Gestão de Terminais,KMM - Portus (GTP),R$ 0.00,0,Growth
Torre Embarcador,WMS e Gestão de Terminais,WMS - Locus,R$ 252764.19,0,Dúvida
Torre Embarcador,YMS,GBM - TOT,R$ 2450000.00,31,Growth
Torre Embarcador,YMS,KMM - Flow TOS/Automação,R$ 670606.00,23,Growth
Torre Embarcador,YMS,KMM - GTM ,R$ 68599.47,8,Migrar
Torre Embarcador,YMS,KMM - GUM,R$ 0.00,0,Migrar
Torre Embarcador,YMS,KMM - Novo YMS (.Net),R$ 0.00,0,Growth
Torre Embarcador,YMS,KMM - Novo YMS (PHP),R$ 99000.00,2,Migrar
Torre Embarcador,YMS,KMM - Rota Certa,R$ 51000.00,11,Migrar
Torre Embarcador,YMS,KMM - SAAGRA,R$ 200000.00,7,Maduro
Torre Embarcador,YMS,LogOne - YMS,R$ 379000.00,2,Migrar
Torre Embarcador,YMS,Trizy - B3,R$ 457000.00,36,Migrar
Torre Embarcador,YMS,Trizy - BID,R$ 11746.33,7,Dúvida
Torre Embarcador,YMS,Trizy - Cargas (Legado),R$ 86083.00,11,Dúvida
Torre Embarcador,YMS,Trizy - Classificador,R$ 0.00,1,Migrar
Torre Embarcador,YMS,Trizy - Novo Cargas,R$ 0.00,0,Dúvida
Torre Embarcador,YMS,Trizy - TSM,R$ 1152231.51,91,Growth
Torre Fintech,Gestão de Combusítvel,Gasola,R$ 0.00,0,Growth
Torre Fintech,PEF - Pagamento Eletrônico de Frete,efrete - Pagamento Eletrônico de Frete,R$ 240570.53,129,Growth
Torre Fintech,PEF - Pagamento Eletrônico de Frete,efrete - PEF - Credenciado,R$ 280045.42,968,Growth
Torre Fintech,PEF - Pagamento Eletrônico de Frete,efrete - PEF - Licença de Integração,R$ 402126.23,1173,Growth
Torre Fintech,Serviços Financeiros,efrete - Conta Digital PF,R$ 0.00,0,MVP
Torre Fintech,Serviços Financeiros,efrete - Conta Digital PJ,R$ 0.00,0,MVP
Torre Fintech,Serviços Financeiros,nsflow,R$ 34824.36,9,MVP
Torre IM,Softwares para Corretoras,nscorr,R$ 7306.00,16,MVP
Torre IM,Softwares para Resseguros,CIR,R$ 179725.00,9,Migrar
Torre IM,Softwares para Resseguros,nsre,R$ 126383.00,2,Growth
Torre IM,Softwares para Resseguros,SGE,R$ 102451.00,2,Migrar
Torre IM,Softwares para Seguradoras,nsseg - Averbação,R$ 3112847.00,21,Maduro
Torre IM,Softwares para Seguradoras,nsseg - Avulsa,R$ 6319.00,1,MVP
Torre IM,Softwares para Seguradoras,nsseg - Cotação (SSC),R$ 11378.00,2,MVP
Torre IM,Softwares para Seguradoras,nsseg - Faturamento (CIT),R$ 666435.00,20,Migrar
Torre IM,Softwares para Seguradoras,nsseg - Faturamento (CITWEB),R$ 34429.00,2,Growth
Torre IM,Softwares para Seguradoras,nsseg - Jornada de Cotação,R$ 0.00,0,MVP
Torre MG,Jornada de Trabalho,ATSlog - ATSguard,R$ 0.00,0,Migrar
Torre MG,Jornada de Trabalho,ATSlog - ATSguiarh,R$ 0.00,0,Dúvida
Torre MG,Jornada de Trabalho,ATSlog - ATSguiarh light web,R$ 0.00,0,Dúvida
Torre MG,Jornada de Trabalho,ATSlog - Jornada Assistida,R$ 0.00,0,Growth
Torre MG,Jornada de Trabalho,Trafegus - Jornada,R$ 33736.67,15,Migrar
Torre MG,Marketplace / e-procurement,KMM - nskote,R$ 444322.45,796,Growth
Torre MG,TMS Cabotagem,Multisoftware - MultiCabotagem,R$ 185956.00,0,Estabilização
Torre MG,TMS Cabotagem,Signa - e-Cargo Cabotagem,R$ 1669356.00,0,Migrar
Torre MG,TMS Transportador FTL Agro,Atua - Mais Frete,R$ 3146674.91,1434,Growth
Torre MG,TMS Transportador FTL Médio/Grande,Avacorp,R$ 1077494.00,97,Migrar
Torre MG,TMS Transportador FTL Médio/Grande,Avacorp-i,R$ 0.00,0,Migrar
Torre MG,TMS Transportador FTL Médio/Grande,KMM - TMS Enterprise & Corporate,R$ 2510221.00,53,Migrar
Torre MG,TMS Transportador FTL Médio/Grande,KMM - TMS Essentials,R$ 236000.00,29,Migrar
Torre MG,TMS Transportador FTL Médio/Grande,New KMM,R$ 471262.00,26,Estabilização
Torre MG,TMS Transportador FTL Médio/Grande,New KMM - LTL,R$ 0.00,0,MVP
Torre MG,TMS Transportador FTL Médio/Grande,Praxio - Globus Cargas,R$ 715597.90,106,Migrar
